n,fecha,concepto,importe,estado,detalle,n_comprobante,documentos,confianza,origen_detalle,fuente,motivo
1,2026-08-03,"Impuesto ley 25.413 debito 0,6%",-51.76,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
2,2026-08-04,Debito automatico - Personal flow da-7643081437971453,-27900.64,NARANJA,Servicioss - Personal Flow - 002 3816 5A,,,media,tabla,regla,"regla: tabla exacta, sin documento candidato"
3,2026-08-04,Compra con tarjeta de debito - Nombre001 - tarj nro. 9486,-16882.38,NARANJA,,,,baja,ninguno,modelo,el modelo no devolvio decision
4,2026-08-04,Transferencia realizada - A Nombre002 Nombre003 Nombre004 / - fac / 30497172214,-872744.13,NARANJA,Insumo - Combustible - Nombre002 Nombre003 Nombre004,,,media,tabla,regla,"regla: tabla exacta, sin documento candidato"
5,2026-08-04,Debito Nombre005. online banking emp - A Nombre006 Nombre007 Nombre008 / - fac / 20247068571,-2500000.0,NARANJA,Personal - Agricultura - Nombre112 Nombre006 Nombre007,,,media,tabla,regla,"regla: tabla exacta, sin documento candidato"
6,2026-08-04,Transferencia realizada - A Nombre009 Nombre010 ii / - exp / 30852371911,-129408.0,NARANJA,Expensas - Nombre010 - 5A,,,media,tabla,regla,"regla: tabla exacta, sin documento candidato"
7,2026-08-04,Transferencia realizada - A Nombre011 Nombre012 Nombre013 / - fac / 20642353564,-1887000.0,NARANJA,Estudio Contable - Estudio Contable - Nombre113,,,media,tabla,regla,"regla: tabla exacta, sin documento candidato"
8,2026-08-04,Transferencia realizada - A Nombre014 Nombre015 / - fac / 27106849154,-697197.38,NARANJA,Asesoramiento - AB - Nombre015 Nombre014,,,media,tabla,regla,"regla: tabla exacta, sin documento candidato"
9,2026-08-04,Pago de servicios - Nombre016 Nombre017 Nombre018: 5088363703323581336 - tarj nro. 2889,-4123.35,NARANJA,,,,baja,ninguno,modelo,el modelo no devolvio decision
10,2026-08-04,Pago de servicios - Nombre016 Nombre017 Nombre018: 7402927012482700075 - tarj nro. 2889,-2155.24,NARANJA,,,,baja,ninguno,modelo,el modelo no devolvio decision
11,2026-08-04,Pago de servicios - Nombre016 Nombre017 Nombre018: 7402927012482700075 - tarj nro. 2889,-30335.87,NARANJA,,,,baja,ninguno,modelo,el modelo no devolvio decision
