n,fecha,concepto,importe,estado,detalle,n_comprobante,documentos,confianza,origen_detalle,fuente,motivo
1,2026-08-03,"Impuesto ley 25.413 debito 0,6%",-51.76,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
2,2026-08-04,Debito automatico - Personal flow da-7643081437971453,-27900.64,BLANCO,Servicioss - Personal Flow - 002 3816 5A,03950-07678443,doc_027.pdf,alta,tabla,modelo,importe exacto coincide; Nombre185 del suministro confirmada | guarda: se restituyo el Detalle de la tabla
3,2026-08-04,Compra con tarjeta de debito - Nombre001 - tarj nro. 9486,-16882.38,NARANJA,,,,baja,ninguno,modelo,sin documento ni antecedente en tabla para Nombre001
4,2026-08-04,Transferencia realizada - A Nombre002 Nombre003 Nombre004 / - fac / 30497172214,-872744.13,BLANCO,Insumo - Combustible - Nombre002 Nombre003 Nombre004,0003-00001728,doc_054.pdf,alta,tabla,regla,regla: importe unico + emisor coincide + tabla exacta
5,2026-08-04,Debito Nombre005. online banking emp - A Nombre006 Nombre007 Nombre008 / - fac / 20247068571,-2500000.0,BLANCO,Personal - Agricultura - Nombre112 Nombre006 Nombre007,00001 00000004,doc_008.pdf,alta,tabla,modelo,"importe exacto, CUIT y nombre coinciden; importe redondo confirmado"
6,2026-08-04,Transferencia realizada - A Nombre009 Nombre010 ii / - exp / 30852371911,-129408.0,BLANCO,Expensas - Nombre010 - 5A,,doc_004.jpg,media,tabla,modelo,importe exacto coincide; pertenencia dudosa pero es gasto empresa
7,2026-08-04,Transferencia realizada - A Nombre011 Nombre012 Nombre013 / - fac / 20642353564,-1887000.0,BLANCO,Estudio Contable - Estudio Contable - Nombre113,00002 00001222,doc_044.pdf,alta,tabla,regla,regla: importe unico + emisor coincide + tabla exacta
8,2026-08-04,Transferencia realizada - A Nombre014 Nombre015 / - fac / 27106849154,-697197.38,BLANCO,Asesoramiento - AB - Nombre015 Nombre014,C-00002-00000043,doc_043.pdf,alta,tabla,regla,regla: importe unico + emisor coincide + tabla exacta
9,2026-08-04,Pago de servicios - Nombre016 Nombre017 Nombre018: 5088363703323581336 - tarj nro. 2889,-4123.35,BLANCO,"Servicios - Electricidad - Calle 40 Nº5242, Nombre004",B-0014-02381661,doc_108.pdf,alta,deducido,modelo,importe exacto coincide; Nombre185 del suministro identificada
10,2026-08-04,Pago de servicios - Nombre016 Nombre017 Nombre018: 7402927012482700075 - tarj nro. 2889,-2155.24,BLANCO,"Servicios - Electricidad - Calle 59 Nº3200, Suministro 6",B-0014-02367928,doc_077.pdf,alta,deducido,modelo,importe exacto cuota coincide; Nombre185 del suministro confirmada
11,2026-08-04,Pago de servicios - Nombre016 Nombre017 Nombre018: 7402927012482700075 - tarj nro. 2889,-30335.87,BLANCO,"Servicios - Electricidad - Calle 59 Nº3200, Suministro 6",B-0014-02367928,doc_077.pdf,alta,deducido,modelo,"importe total exacto coincide; mismo documento, otro monto"
12,2026-08-04,Pago de servicios - Nombre016 Nombre017 Nombre018: 5088363703323581336 - tarj nro. 2889,-4042.53,BLANCO,"Servicios - Electricidad - Calle 40 Nº5242, Nombre004, Suministro 9",B-0014-02381660,doc_097.pdf,alta,deducido,modelo,importe cuota exacto coincide; Nombre185 del suministro confirmada
13,2026-08-04,Pago de servicios - Nombre016 Nombre017 Nombre018: 7402927012482700075 - tarj nro. 2889,-29845.13,BLANCO,"Servicios - Electricidad - Calle 59 Nº3200, Suministro 6",B-0014-02367927,doc_127.pdf,alta,deducido,modelo,importe total exacto coincide; Nombre185 del suministro confirmada
14,2026-08-04,Pago de servicios - Nombre016 Nombre017 Nombre018: 5088363703323581336 - tarj nro. 2889,-58953.68,BLANCO,"Servicios - Electricidad - Calle 40 Nº5242, Nombre004",B-0014-02381661,doc_108.pdf,alta,deducido,modelo,importe total exacto coincide; otro monto del mismo documento
15,2026-08-04,Pago de servicios - Nombre016 Nombre017 Nombre018: 5088363703323581336 - tarj nro. 2889,-57546.39,BLANCO,"Servicios - Electricidad - Calle 40 Nº5242, Nombre004, Suministro 9",B-0014-02381660,doc_097.pdf,alta,deducido,modelo,importe total exacto coincide; otro monto del mismo documento
16,2026-08-04,Pago de servicios - Nombre016 Nombre017 Nombre018: 7402927012482700075 - tarj nro. 2889,-2129.03,BLANCO,"Servicios - Electricidad - Calle 59 Nº3200, Suministro 6",B-0014-02367927,doc_127.pdf,alta,deducido,modelo,importe cuota exacto coincide; otro monto del mismo documento
17,2026-08-04,Transferencia realizada - A Nombre019 sa / - fac / 30735649422,-1229360.0,BLANCO,Maquinaria - Repuestos - Nombre019,A 0001-00005206 ; 0001-00005207,doc_045.pdf doc_078.pdf,alta,tabla,modelo,dos facturas del mismo emisor suman el débito exacto | guarda: comprobante tomado de los documentos de origen
18,2026-08-04,Transferencia inmediata - A Nombre020 Nombre021 Nombre022 / - fac / 20672945922,-716320.0,BLANCO,Maquinaria - Repuestos - Nombre020 Nombre021 Nombre022,00002 00000439,doc_003.pdf,alta,tabla,modelo,"importe exacto, CUIT y nombre coinciden"
19,2026-08-04,"Impuesto ley 25.413 debito 0,6%",-49595.65,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
20,2026-08-05,Debito automatico - Nombre023 -909449900,-1023536.89,BLANCO,Asesoramiento - Asociación - Nombre023,00011-00153429 ; 00011-00155355,doc_053.pdf doc_070.pdf,alta,tabla,modelo,dos documentos del mismo emisor suman débito exacto | guarda: comprobante tomado de los documentos de origen
21,2026-08-05,Compra con tarjeta de debito - Nombre024 Nombre025 del Nombre026 - tarj nro. 6685,-80210.02,NARANJA,Maquinaria - Ferreteria - Nombre114 Nombre025,,,media,tabla,regla,"regla: tabla exacta, sin documento candidato"
22,2026-08-05,Transferencia por sistema Nombre027 - Cuit:30318985229 - cbu:2984769633927535115696,-742155.0,AMARILLO,Personal - Embargo - Nombre115,9535379,doc_071.pdf,media,tabla,modelo,"importe exacto coincide; documento es comprobante pago, pertenencia dudosa"
23,2026-08-05,"Impuesto ley 25.413 debito 0,6%",-11075.41,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
24,2026-08-06,Debito Nombre005. online banking emp - A Nombre028 electricidad sa / - fac / 30004356126,-14083.36,BLANCO,Mantenimiento - Materiales Electricos - Nombre028 Electricidad,0005-00014682,doc_117.pdf,alta,tabla,regla,regla: importe unico + emisor coincide + tabla exacta
25,2026-08-06,Pago de servicios - Nombre029: 20660736274 - tarj nro. 2889,-806120.21,NARANJA,Servicios - Telefonía - Nombre029,,,media,tabla,regla,"regla: tabla exacta, sin documento candidato"
26,2026-08-06,Pago de servicios - Nombre030: 1665017166896451239 - tarj nro. 2889,-369746.06,BLANCO,Servicios - Internet - Nombre052,A 0004-00005765,doc_086.pdf,alta,tabla,modelo,importe exacto coincide; identificador del documento confirmado
27,2026-08-06,Pago de servicios - Nombre031.Nombre032: 7316975267718804405 - tarj nro. 2889,-8066194.02,BLANCO,Personal - Leyes - El Nombre116,1662208122,doc_121.pdf,alta,tabla,modelo,VEP ARCA importe exacto coincide; identifica período 2026-07
28,2026-08-06,"Impuesto ley 25.413 debito 0,6%",-55536.86,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
29,2026-08-07,Snp debito directo - Nombre033 y con-30719795892,-535279.8,BLANCO,Servicios - Software - Nombre117 Nombre118,0002-00082836,doc_015.pdf,alta,tabla,modelo,importe exacto coincide; factura confirmada
30,2026-08-07,Pago de servicios - Nombre031.Nombre032: 7316975267718804405 - tarj nro. 2889,-5917909.11,BLANCO,Personal - Leyes - El Nombre116,1663742379,doc_093.pdf,alta,tabla,modelo,VEP ARCA ganancias importe exacto coincide
31,2026-08-07,"Impuesto ley 25.413 debito 0,6%",-38719.13,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
32,2026-08-10,Deposito e-Nombre034 48hs Nombre035 Nombre036,3100000.0,AMARILLO,Maquinaria - Venta - Nombre119,64193010,doc_009.pdf,media,tabla,modelo,e-Nombre034 coincide en importe pero es redondo sin CUIT; tabla respalda
33,2026-08-10,Comision Nombre037 Nombre038 Nombre039,-21700.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
34,2026-08-10,Iva 21% Nombre040 de Nombre041 ley27743,-4557.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
35,2026-08-10,Iva percepcion rg 2408,-651.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
36,2026-08-10,Compra con tarjeta de debito - Nombre042*Nombre043 - tarj nro. 6685,-165019.0,NARANJA,,,,baja,ninguno,modelo,sin documento ni confirmación de gasto; concepto no Nombre029
37,2026-08-10,Debito automatico - Personal flow da-2836253793388025,-164889.25,BLANCO,Servicios - Telefonía - Personal Flow,03950-07882992,doc_065.pdf,alta,tabla,modelo,liquidación de servicio coincide en importe exacto y concepto
38,2026-08-10,Debito automatico - Personal flow da-0728408245106320,-74739.06,BLANCO,Servicios - Telefonía - Personal Flow,A03950-07857017,doc_105.pdf,alta,tabla,modelo,liquidación de servicio coincide en importe exacto y concepto
39,2026-08-10,Debito Nombre005. online banking emp - A Nombre044 Nombre045 Nombre046 / - var / 20041007133,-2000000.0,AMARILLO,Retiro - Accionista - Nombre044 Nombre045,08-2026,doc_085.pdf,alta,tabla,modelo,e-Nombre034 de Nombre296 coincide en importe; tabla confirma el gasto | convencion: comprobante = periodo
40,2026-08-10,Transferencia realizada - A Nombre047 Nombre004 s a / - fac / 30230035963,-99825.0,BLANCO,Maquinaria - Repuestos - Nombre047 Nombre004,00002 00000427,doc_110.pdf,alta,tabla,regla,regla: importe unico + emisor coincide + tabla exacta
